Specified Values,Specified Attribute Names,sfdm2,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"1.0, 0.0, 0.0, [-614.84,762.84], 7.0, 0.0, 1.0, [-36.0,36.0], [-146523.12,182747.12], [-1.0500000000000007,44.05], 4.0, [0.34416015597999994,1.00374023402], [-36.22,40.22], 0.0, 0.0, [0.5399997,1.0599997], 2.0, [37.5,112.5], [6.799999999999997,57.2], [-1.2372207874999996,6.6366347875], [-5.1961438743,7.7957532543], [-15.985000000000007,111.98500000000001], [155.0,2945.0], 1.0","death, sex, hospdead, d.time, dzgroup, dzclass, num.co, scoma, totcst, avtisst, race, surv2m, hday, dementia, ca, prg6m, dnr, hrt, resp, alb, crea, bun, urine, adls",4.0,1.0,1.0,1,9.5,6718,554,0.5217391304347826,0.0004975567223090417,2,2
"1.0, 1.0, 0.0, [-118.8,132.8], 3.0, [0.6850000000000005,23.314999999999998], [-100886.86420000001,114405.2158], [-182514.03282204998,194201.86876205], [-16.37,30.37], 4.0, [-10.613786515500006,45.8090989155], [-16.15,76.15], [-42.364999999999995,44.364999999999995], 1.0, 0.0, 2.0, [-0.3640000008,0.3659999992], 0.0, [-48.815000000000005,50.815000000000005], [-4.850000000000001,24.85], [35.14669805,42.24392195], [-15.2686000874,18.0684047674], [120.64,151.36], [-0.48538086199999997,2.485380862]","death, sex, hospdead, slos, num.co, edu, totcst, totmcst, avtisst, race, sps, aps, hday, diabetes, dementia, ca, prg6m, dnr, dnrday, resp, temp, bili, sod, adlsc",0.0,1.0,1.0,1,1.5,6721,557,0.5217391304347826,7.856158773300657e-05,2,2
"[45.36722725,90.86873275], [-94.2,130.2], [-547.2800000000001,587.2800000000001], 1.0, 1.0, 7.0, [-0.0600000000000005,16.060000000000002], 3.0, [-23.0,41.0], [-79293.56029999998,104337.9197], [-188655.68249160002,209383.7606916], [-9.753335999999997,41.086664], [1.3239941439999967,64.676005856], [0.18490112340500003,0.8929797365950001], [0.022386474254999955,0.657545165745], [-20.990000000000002,28.990000000000002], 1.0, 1.0, [-89.25,95.25], [-10.0,146.0], [2.430115926,5.369688674], [-1.8768513454,5.0765583854], [3.797548826,6.202451174]","age, slos, d.time, dzgroup, dzclass, num.co, edu, income, scoma, totcst, totmcst, avtisst, sps, surv2m, surv6m, hday, diabetes, ca, dnrday, hrt, alb, crea, adlsc",0.0,1.0,1.0,2,2.0,6723,559,0.5,0.00020949756728801754,2,2
"[37.70766689999999,89.0002731], 0.0, 0.0, [-50.1,62.1], 2.0, [-236758.24619980002,246575.36337980002], 4.0, [-10.98,42.980000000000004], [0.47591674840500003,1.183995361595], [0.50664306589,0.75312255811], [-23.990000000000002,25.990000000000002], 0.0, 0.0, 0.0, [0.7649998090000001,1.134999809], [0.5,1.0], [-6.402343800000001,43.5976562], [12.249999999999998,43.75], [34.8960138,38.4946062], [-1.6703635391000002,3.2702170591], 1.0, [-1.298803715,3.298803715]","age, sex, hospdead, slos, dzclass, totmcst, race, aps, surv2m, surv6m, hday, diabetes, dementia, ca, prg2m, prg6m, wblc, resp, temp, crea, adlp, adlsc",2.0,0.03125,0.5,1,20.75,6725,561,0.4782608695652174,0.0010867686303065909,2,4
"[0.9807865999999947,57.2371934], 1.0, 0.0, 0.0, 0.0, 3.0, [3.5,48.5], [-229298.27000000002,317738.27], [-160553.87560000003,194044.8444], [-121270.09849414999,155935.94229415], [-5.879130856000003,57.472880856], [-18.409999999999997,82.41], [0.50290771501,1.14308837899], 0.0, [0.4149997999999999,0.9849998], 2.0, [-38.125,54.125], [26.224999999999994,93.775], [-34.703125,73.296875], [33.45138805,40.54861195], [-88.10749999999999,228.1075], [7.03277376,7.44574224], [-291.10403576999994,475.10403576999994], [44.665,115.33500000000001], [-1231.0,3449.0]","age, death, hospdead, dzgroup, dzclass, num.co, scoma, charges, totcst, totmcst, sps, aps, surv2m, dementia, prg6m, dnr, dnrday, meanbp, wblc, temp, pafi, ph, glucose, bun, urine",0.0,1.0,1.0,1,5.5,6728,564,0.5434782608695652,0.00028805915502102414,2,2
"[-77.33000000000004,753.33], 6.0, [6.49,19.509999999999998], [-25.0,25.0], [-344498.95,355198.95], [-172821.2623,181777.45770000003], [-244841.0230795,252708.2808995], [-8.162457400500001,38.3616762005], [0.39049072295,1.06947021505], [-45.305,47.305], 0.0, [0.6399996,1.1599996], 2.0, [26.555000000000007,167.445], [5.5,122.5], [1.75,42.25], [33.34963255,39.44724745], [123.03999999999999,156.96], 6.0, [3.5950976519999998,8.404902348]","d.time, dzgroup, edu, scoma, charges, totcst, totmcst, sps, surv2m, hday, ca, prg6m, dnr, meanbp, hrt, resp, temp, sod, adls, adlsc",4.0,1.0,1.0,1,1.5,6734,570,0.43478260869565216,7.856158773300657e-05,2,2
"1.0, 2.0, 1.0, 2.0, [-5977.719999999972,604667.72], [52486.52120495,287045.47879505], 4.0, [-9.05,35.05], 1.0, 0.0, 1.0, [0.58,0.92], [0.7799997999999999,1.1199998], 0.0, [-62.334999999999994,96.335], [116.91,167.09], [-15.6015625,72.3984375], [35.0959356,38.2946844], [-110.33187500000003,355.206875], [-1.2545269709999998,5.254526971], [-208.12003184999998,474.12003185], [58.35,115.65]","death, dzgroup, dzclass, num.co, charges, totmcst, race, hday, diabetes, dementia, ca, prg2m, prg6m, dnr, dnrday, meanbp, wblc, temp, pafi, alb, glucose, bun",2.0,1.0,1.0,1,1.0,6777,613,0.4782608695652174,5.2374391822004384e-05,2,2
"0.0, [-89.50000000000001,97.50000000000001], 1.0, 4.0, 3.0, [-36.5,36.5], [-110812.1,110812.1], [-113725.5551952,113725.5551952], [-5.17,25.17], 1.0, [5.232870790999996,50.767129209000004], [-1.6000000000000014,83.6], [0.50476562522,1.00915039078], 1.0, 0.0, 1.0, [0.47499990000000003,0.7249999], [-56.885000000000005,64.885], [34.397818400000006,39.1959416], [207.50437500000004,725.745625], [-8.9091972336,17.5088066136], [7.282104125,7.497191875], [-196.64002695,380.64002695], [-42.75,52.75], 3.0, [2.736562496,7.2634375040000005]","hospdead, slos, dzgroup, num.co, income, scoma, totcst, totmcst, avtisst, race, sps, aps, surv2m, diabetes, dementia, ca, prg6m, dnrday, temp, pafi, bili, ph, glucose, bun, adlp, adlsc",4.0,1.0,1.0,1,8.5,6782,618,0.5652173913043478,0.0004451823304870373,2,2
"0.0, 0.0, [-117.39999999999999,127.39999999999999], [-119.98000000000002,811.98], [5.700000000000001,24.299999999999997], 2.0, [-19.34,41.34], 4.0, [0.617647704735,1.112332763265], [-34.28,36.28], 0.0, 0.0, [0.84,1.16], [0.8199998,1.0799998], [10.05,37.95], [33.45099705,38.54900295], [2.3619858324999994,6.0364517675], [-10.207574843000002,11.807428363000001], [125.03999999999999,158.96], [-234.61603283,468.61603283], [-7.785,43.785], [460.0,3160.0], [-0.10746091600000018,3.8535547160000005]","death, hospdead, slos, d.time, edu, income, avtisst, race, surv2m, hday, diabetes, ca, prg2m, prg6m, resp, temp, alb, bili, sod, glucose, bun, urine, adlsc",4.0,1.0,1.0,1,1.5,6788,624,0.5,7.856158773300657e-05,2,2
"0.0, 0.0, 0.0, 1.0, [0.570172118675,1.103656005325], [-13.52,33.519999999999996], 0.0, 0.0, [-0.115000036,0.31499996399999997], [26.5,113.5], [-182.21499999999997,450.215], [139.0,155.0], 1.0, [-1.546367192,3.546367192]","dzgroup, dzclass, num.co, race, surv2m, hday, diabetes, dementia, prg2m, hrt, pafi, sod, adls, adlsc",3.0,1.0,1.0,1,4.0,6789,625,0.30434782608695654,0.00020949756728801754,2,2
