Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
17,0,0,18,18,1,1,17.0,0,0,0,1,0,1.3902485370635986,0.00011134147644042969,8.821487426757812e-06,0.0,0.0,4.506111145019531e-05
18,0,0,19,19,1,1,18.0,0,0,0,1,0,1.3902816772460938,0.00012087821960449219,9.298324584960938e-06,0.0,0.0,4.673004150390625e-05
19,0,0,20,20,1,1,19.0,0,0,0,1,0,1.3903205394744873,0.0001327991485595703,9.5367431640625e-06,0.0,0.0,4.792213439941406e-05
20,0,0,21,21,2,1,20.0,0,0,0,1,0,1.3903727531433105,0.0001533031463623047,1.0013580322265625e-05,0.0,0.0,4.935264587402344e-05
21,0,0,22,22,1,1,21.0,0,0,0,1,0,1.3904118537902832,0.00016832351684570312,1.0251998901367188e-05,0.0,0.0,5.125999450683594e-05
22,0,0,23,23,1,1,22.0,0,0,0,1,0,1.390449047088623,0.0001823902130126953,1.049041748046875e-05,0.0,0.0,5.435943603515625e-05
23,0,0,24,24,1,1,23.0,0,0,0,1,0,1.3905022144317627,0.0002067089080810547,1.0728836059570312e-05,0.0,0.0,5.602836608886719e-05
24,0,0,25,25,1,1,24.0,0,0,0,1,0,1.3905410766601562,0.0002205371856689453,1.0728836059570312e-05,0.0,0.0,5.793571472167969e-05
25,0,0,26,26,1,1,25.0,0,0,0,1,0,1.3905792236328125,0.00023484230041503906,1.0967254638671875e-05,0.0,0.0,5.91278076171875e-05
26,0,0,27,27,1,1,26.0,0,0,0,1,0,1.3906223773956299,0.0002532005310058594,1.1205673217773438e-05,0.0,0.0,6.031990051269531e-05
27,0,0,28,28,1,1,27.0,0,0,0,1,0,1.3906643390655518,0.0002703666687011719,1.1444091796875e-05,0.0,0.0,6.198883056640625e-05
28,0,0,29,29,1,1,28.0,0,0,0,1,0,1.390702247619629,0.0002868175506591797,1.1682510375976562e-05,0.0,0.0,6.341934204101562e-05
29,0,0,30,30,1,1,29.0,0,0,0,1,0,1.3907427787780762,0.00030303001403808594,1.1920928955078125e-05,0.0,0.0,6.4849853515625e-05
30,0,0,31,31,1,1,30.0,0,0,0,1,0,1.390791893005371,0.0003216266632080078,1.2159347534179688e-05,0.0,0.0,6.604194641113281e-05
31,0,0,32,32,1,1,31.0,0,0,0,1,0,1.3908336162567139,0.0003390312194824219,1.239776611328125e-05,0.0,0.0,6.723403930664062e-05
32,0,0,33,33,1,1,32.0,0,0,0,1,0,1.3908774852752686,0.0003604888916015625,1.2636184692382812e-05,0.0,0.0,6.842613220214844e-05
33,0,0,34,34,1,1,33.0,0,0,0,1,0,1.3909180164337158,0.0003788471221923828,1.2874603271484375e-05,0.0,0.0,7.152557373046875e-05
34,0,0,35,35,1,1,34.0,0,0,0,1,0,1.3909685611724854,0.0004019737243652344,1.33514404296875e-05,0.0,0.0,7.295608520507812e-05
35,0,0,36,36,1,1,35.0,0,0,0,1,0,1.3910188674926758,0.00042748451232910156,1.3589859008789062e-05,0.0,0.0,7.43865966796875e-05
36,0,0,37,37,1,1,36.0,0,0,0,1,0,1.3910629749298096,0.00044918060302734375,1.3589859008789062e-05,0.0,0.0,7.581710815429688e-05
37,0,0,38,38,1,1,37.0,0,0,0,1,0,1.3911075592041016,0.00046825408935546875,1.3828277587890625e-05,0.0,0.0,7.724761962890625e-05
